"month","oilsupply_shock","oildemand_shock","oilprice_shock"
2005-01-01,1.04842968096815,-0.489486843832469,2.12468940069368
2005-02-01,-0.81313533318151,1.70194925313103,0.108544611390505
2005-03-01,-0.0880258080183682,0.450477780388908,0.460972428163665
2005-04-01,0.505494450911603,1.48149112427024,-0.527371294682576
2005-05-01,0.137633470471028,-0.81016060832869,-1.08571708836757
2005-06-01,-1.03301119728748,-1.50839066809395,1.53596002847487
2005-07-01,2.89981879833195e-05,-0.949936782210926,0.814283478271276
2005-08-01,1.100257463423,-0.627785229526303,0.720675426057337
2005-09-01,-0.623316423990799,0.684316695379956,-0.662047529524945
2005-10-01,-1.18206463736641,-0.773852521214977,-0.924304505093408
2005-11-01,0.276542103852157,-0.502142823346789,1.08333667194344
2005-12-01,1.59468811618836,-0.749227116470478,1.21923600938689
2006-01-01,-1.27210289152776,-0.0909892974788507,0.0334943153921933
2006-02-01,-0.483980024920955,0.268316316803253,-0.876247607568968
2006-03-01,-1.30901990416275,0.0287350840735332,0.813390984269102
2006-04-01,-0.819230603711928,0.26294309280391,0.574807138805622
2006-05-01,-0.155303835803687,0.357321375510852,-0.795209911994001
2006-06-01,0.164550586564583,1.01505845614363,-0.489403218301797
2006-07-01,0.886321255815121,0.306121976301213,1.15409292956623
2006-08-01,-0.116327241664859,0.181154694404484,-0.96358949845054
2006-09-01,-0.24283023539647,0.543416759518524,-1.61881475140931
2006-10-01,0.860736256941432,0.818661795052101,0.258841912887743
2006-11-01,-0.446305429721004,0.720887402807162,-1.06902422845051
2006-12-01,-0.183888673368666,0.259601954299658,0.204539398625042
2007-01-01,-0.0308312154783372,0.555513152832317,-2.26315836550458
2007-02-01,0.933299670531135,0.81685847692853,1.43076747006714
2007-03-01,-0.405536586327038,0.147146152048823,-0.195736452772746
2007-04-01,0.872791196337081,0.516795292900678,-0.52139232133721
2007-05-01,-0.41494218026397,0.688430397217228,-0.410994727723152
2007-06-01,-0.607386932673565,-0.842411722830245,0.751750442663519
2007-07-01,0.678942623322466,1.14694568296425,1.35360146488595
2007-08-01,-0.903964661771359,0.299372708095579,-0.972282841565982
2007-09-01,1.0927032943814,1.11272363148967,1.33378987020489
2007-10-01,0.65271685755343,0.382089751159184,0.28157123393522
2007-11-01,-1.39896026446898,0.310217751206315,-0.284732093880568
2007-12-01,-0.667393327855718,-0.719900237790554,-0.243574602142965
2008-01-01,-0.00826510444420013,-0.41340405312087,0.764875702459173
2008-02-01,0.171190169676603,0.275220936548793,1.0012552450058
2008-03-01,1.12849052950915,1.07711511934522,0.780175483140763
2008-04-01,-1.19337801068738,-0.0443478150763634,-0.104971088903673
2008-05-01,-0.287193539390992,1.81121837601403,0.593981651142174
2008-06-01,-1.34515204821521,-1.21272734210735,0.101921803555122
2008-07-01,-0.222152069545461,0.0852202147028709,0.476073014721555
2008-08-01,-2.13820505736288,-1.0503012157064,-1.61314073497175
2008-09-01,-0.963784257953959,-1.16255270080819,-0.721129841909915
2008-10-01,1.14626680156196,-4.39848419695289,-1.57386116782746
2008-11-01,1.21698726322058,-1.84921035393326,-0.203517962772509
2008-12-01,0.122887117749765,0.0515081863290176,-2.16989271589136
2009-01-01,0.905545093183852,1.23383441889723,1.74009787942082
2009-02-01,2.30429304460245,1.23485672402612,-0.878054341778746
2009-03-01,0.956747271036016,-1.23801511909202,1.38719934937186
2009-04-01,0.12076296021366,-1.97637948120464,-0.899151941186016
2009-05-01,-0.446487228780507,1.51962379696628,1.34742915590151
2009-06-01,-1.48980933823817,0.668867523362823,0.673202133763268
2009-07-01,0.614361621599778,-0.976080787487115,-1.49421551343932
2009-08-01,-1.17227242913837,-0.0522462632673325,0.983458185442082
2009-09-01,-0.270236326406938,-0.49277404243456,-0.151271245186316
2009-10-01,-0.825034329532719,1.43271638103705,0.682335308215337
2009-11-01,0.284044965436413,-0.159937458812998,0.706858597761977
2009-12-01,-0.587229983767732,-0.772998649387036,0.285810621749826
2010-01-01,0.382051697061801,-1.36457268771773,0.120692801078503
2010-02-01,0.43761824252889,0.603916375456527,0.62343712320865
2010-03-01,-0.126297299395661,0.459538093809194,1.39930840490639
2010-04-01,-0.309901705578072,-0.285163147101164,0.967000052118408
2010-05-01,-0.744079288936364,0.307683143812187,-0.843203612776587
2010-06-01,-0.205355788085021,-0.64460555527517,-0.329024737426177
2010-07-01,0.854650662457765,-1.30221313521494,0.835525620368268
2010-08-01,-0.462956581311206,0.84710190222908,0.4084340634928
2010-09-01,-0.67491110961253,-0.125962314523904,0.0260719123672343
2010-10-01,0.493709589266764,0.307281265591587,1.45643501733096
2010-11-01,0.261933345034238,0.643304366314908,-0.191272859938036
2010-12-01,-0.997288489040344,0.199652866554443,0.527131184151252
2011-01-01,-0.0675136577234762,-1.48597485679744,0.286364264774304
2011-02-01,-0.757765150039771,-1.08003636509582,0.732414649642243
2011-03-01,-0.860602054419562,0.30146190368095,2.37305635475638
2011-04-01,-0.857465239956077,-0.236677159538284,0.398444203234933
2011-05-01,-1.84150977755824,-0.434959599868664,-1.80129275111713
2011-06-01,0.933075555345888,-0.0798155305156223,0.879472322623547
2011-07-01,0.641536155766003,-0.207113291018674,0.630481992706574
2011-08-01,1.19655600722697,-0.116548426644561,-0.875388275410057
2011-09-01,-0.890297689943048,1.6930801320972,-0.218915446099119
2011-10-01,0.60526918079308,1.24716162950034,-0.744784406933353
2011-11-01,0.32882053482073,-0.433874244920503,1.92900343245726
2011-12-01,-0.0714839552184051,-0.21264666709391,-0.623176704349719
