"month","gassupply_shock","gasdemand_shock","gasprice_shock"
2005-01-01,-0.43885898397752,-0.39359304792249,-0.675203908381455
2005-02-01,-1.96691660452754,1.02906378753795,-0.0481762591464664
2005-03-01,0.807974671269739,0.227799611738107,0.616259010817741
2005-04-01,-0.665802387078045,-0.471840170304272,-0.432764807792597
2005-05-01,0.0988918630633796,-0.856457372383663,-0.764580611282046
2005-06-01,0.464088045213704,-1.51406702740469,0.792229534510068
2005-07-01,-0.172218288647703,-1.11947927167153,0.608277978997536
2005-08-01,-1.13594858428476,0.222973203037297,2.3344839923806
2005-09-01,-4.30921219329109,0.818464043858064,1.23947402918435
2005-10-01,-0.950594248298018,-0.444900236252356,1.45463331930257
2005-11-01,0.744173019701209,-0.606132839314455,-1.41070796963088
2005-12-01,0.46603124595136,-0.851920320991113,2.08330047178517
2006-01-01,-0.41642578797003,0.285347848961671,-2.40838594389571
2006-02-01,-0.442596691475104,0.725012793624503,-0.856995140071334
2006-03-01,-0.182768342400664,-0.0803166543116936,-0.172043097134645
2006-04-01,-0.139934356968303,0.894986372156764,0.497958591144866
2006-05-01,-0.213241270941977,-0.456052873874028,-1.36470890744993
2006-06-01,0.539129052507325,0.158884394068855,-1.25927127627885
2006-07-01,-0.308992054244388,-0.566004159491829,1.31087582222405
2006-08-01,-0.603497564189422,0.936684776412918,1.20723428169304
2006-09-01,1.82065632195024,1.48013613239057,-1.89992345538733
2006-10-01,-0.037043141662006,-0.2655919704724,0.410037943492807
2006-11-01,-0.533774930351043,-0.713106079577537,0.832048442922027
2006-12-01,-0.182230962825795,-0.592641388856927,-0.885630930843012
2007-01-01,0.475883533581636,-0.394398587950882,-0.728783251432317
2007-02-01,-0.043795565341609,0.131193758937831,0.137672114639685
2007-03-01,-0.460295590445771,0.557566331765629,-1.07746505400333
2007-04-01,0.556906089532742,1.64570136943176,0.223079568029578
2007-05-01,0.13804024196932,1.31186447851535,-0.805381878847925
2007-06-01,-0.784883430899037,-0.165213647547032,-0.62856891501392
2007-07-01,-0.298008200694471,0.693528436179877,-1.36377394327117
2007-08-01,-1.0425924834414,1.09799176969724,0.0793595617911059
2007-09-01,1.88868834571701,1.98277504797656,-0.388160344907118
2007-10-01,-0.385477531045971,-0.606792199215212,-0.515863198021373
2007-11-01,0.491486087709216,0.550235929773883,-0.363074090129939
2007-12-01,-0.266489246165464,-0.385572140900602,-0.327198988472777
2008-01-01,-0.225299832564728,-0.110963813785134,0.222884139293942
2008-02-01,1.0451657338491,0.307913565184443,1.09731860126723
2008-03-01,-0.645632261358882,0.1521127260261,0.00591902612489167
2008-04-01,-0.222447878765516,1.40440112626606,0.570480512041752
2008-05-01,-0.73425853875027,1.52952546629826,0.356884470917112
2008-06-01,0.681210380411736,-1.1821529323893,0.550048598077204
2008-07-01,0.963355158416132,0.0060990892906691,-0.70023396861347
2008-08-01,-0.974686284969345,-1.37769357452925,-1.94067789794806
2008-09-01,-5.16405869161129,-1.45962812497525,-2.04709701130955
2008-10-01,1.68904481936314,-3.621915189197,0.39551919548026
2008-11-01,0.422359436208505,-2.15368580373584,0.713441447011682
2008-12-01,1.20777451043752,-0.343126488979155,-0.456310445415858
2009-01-01,1.98232968256608,0.695937871908021,0.419559044195535
2009-02-01,0.50384255723132,1.8948405838899,-0.457175942121144
2009-03-01,-0.325736426915688,-2.28694273157667,0.148617989496735
2009-04-01,-0.439380056518036,-1.28777592528049,-0.811849406825633
2009-05-01,0.185326559125861,1.51535599808767,0.0855693633262661
2009-06-01,0.028048875255509,1.45217528769428,-0.507441235561862
2009-07-01,0.73101961001436,-1.11767453148509,-1.04457726446134
2009-08-01,-0.862709509953804,0.0268529572574072,-0.367754646458721
2009-09-01,0.0101472828057867,0.149928943369477,-0.831680732561297
2009-10-01,-0.108696732613201,0.23316842322155,0.55779722267061
2009-11-01,0.627189614223638,0.795498294593239,-0.417864630130771
2009-12-01,0.142908326592013,-1.99149703268331,2.08455995673284
2010-01-01,0.964544107067592,-0.396084075373071,0.0136746003362365
2010-02-01,-0.764699935239014,-1.08460512245039,-0.353453511544202
2010-03-01,0.369778468725074,-0.136278268689211,-0.969359647096616
2010-04-01,1.32103025952588,-0.596284395877819,-1.42599380209402
2010-05-01,-0.223339522747563,1.5486480831903,0.160805007185156
2010-06-01,-0.857171830260842,-0.426316573112437,0.763290858901093
2010-07-01,1.15713007543005,-1.61385054308374,0.353988983789945
2010-08-01,-0.463569921982672,0.760955774706194,0.396330693553475
2010-09-01,2.76530684191842,-1.85592709136783,-0.619998079972733
2010-10-01,-0.340343150229382,-0.327629566385669,-1.26219052912086
2010-11-01,-0.232481227914248,-0.050812476672159,-0.312834836055753
2010-12-01,1.28055427811105,-0.291668854958737,0.590142506806344
2011-01-01,-0.917734834257804,-0.545101329669384,-0.741258364935254
2011-02-01,-1.20250667072864,-1.49193767646554,0.246525065803679
2011-03-01,1.27517654831085,0.0872477756516654,1.02758270111665
2011-04-01,1.43282039625768,-0.678569131804454,-0.0327825387110389
2011-05-01,0.402825069725702,-0.442017548835281,0.71873114280604
2011-06-01,0.297943413569957,0.896121864412568,0.887647634066617
2011-07-01,0.242283397096336,-0.385957081102298,0.290016777703583
2011-08-01,0.439607393366355,0.366983694167761,-0.170630375487737
2011-09-01,0.144897378275847,1.11705238609551,0.729833736543429
2011-10-01,1.59983100611092,0.00713172566517822,-0.28120804800047
2011-11-01,1.22156453771571,-0.992652808241261,2.75511512277671e-05
2011-12-01,-1.40912066447156,-0.205640004703788,-0.0124449808050731
